	Тип библиотеки	Электронный каталог	Изба-читальня	Дата открытия	Размер фонда	Уверенность в фонде
1390						
1391						
1392						
1393						
1394						
1395						
1396						
1397						
1398						
1399						
1400						
1401						
1402						
1403						
1404						
1405						
1406						
1407						
1408						
1409						
1410						
1411						
1412						
1413						
1414						
1415						
1416						
1417						
1418						
1419						
1420						
1421						
1422						
1423						
1424						
1425						
1426						
1427						
1428						
1429						
1430						
1431						
1432						
1433						
1434						
1435						
1436						
1437						
1438						
1439						
1440						
1441						
1442						
1443						
1444						
1445						
1446						
1447						
1448						
1449						
1450						
1451						
1452						
1453						
1454						
1455						
1456						
1457						
1458						
1459					23000	1
1460					44000	1
1461						
1462						
1463						
1464						
1465						
1466						
1467						
1468						
1469						
1470						
1471						
1472						
1473						
1474						
1475						
1476						
1477						
1478						
1479						
1480				1978		
1481					54000	1
1482						
1483	универсальная	opac.nekrasovka.ru/vmk/				
1484				августе 1969		
1485						
1486						
1487						
1488						
1489						
1490						
1491				4 ноября 1950		
1492						
1493						
1494						
1495						
1496						
1497						
1498				1906	58000	1
1499						
1500					55000	1
1501				1971		
1502				1956		
1503				1980	28000	1
1504						
1505						
1506						
1507						
1508				1900		
1509						
1510						
1511						
1512						
1513						
1514						
1515						
1516						
1517						
1518						
1519						
1520						
1521				1931		
1522						
1523						
1524						
1525						
1526						
1527				1980	7400	1
1528					8400	1
1529						
1530						
1531						
1532						
1533			0			
1534						
1535						
1536				1905		
1537				25 мая 1920		
1538						
1539						
1540						
1541						
1542						
1543						
1544						
1545						
1546						
1547						
1548					4500	1
1549						
1550						
1551						
1552				1915	115200	1
1553				1918	1316000	1
1554						
1555				1972		
1556						
1557						
1558						
1559						
1560						
1561						
1562						
1563				5 ноября 1960		
1564						
1565				1912		
1566						
1567						
1568					6982	1
1569						
1570				1965	1000	1
1571				ноябре 1980	4487	0
1572				15 сентября 1967		
1573			0	1953		
1574				апреле 1919	8000000	1
1575					35000000	1
1576				4 августа 1911		
1577						
1578						
1579						
1580						
1581						
1582			0		6	0
1583				1929	173202	1
1584			0	1903		
1585						
1586				1938		
1587						
1588						
1589						
1590					7000	1
1591						
1592						
1593						
1594						
1595						
1596						
1597						
1598						
1599						
1600						
1601						
1602						
1603						
1604						
1605						
1606						
1607						
1608						
1609						
1610				1957		
1611				1956		
1612				1930		
1613				1950		
1614						
1615				1971		
1616			0			
1617						
1618						
1619						
1620						
1621				1934		
1622				1953		
1623						
1624				1902		
1625						
1626						
1627						
1628				1936		
1629						
1630						
1631				1949		
1632				октябре 1966		
1633						
1634	универсальная	opac.nekrasovka.ru/vmk/				
1635						
1636				1934		
1637						
1638						
1639				1936		
1640						
1641						
1642				1924		
1643				1939		
1644						
1645				1986		
1646						
1647				1979	17635	1
1648			0	1957		
1649				1938		
1650				1989		
1651						
1652				1953		
1653			0			
1654				17 январь 1977	5000	1
1655					32000	1
1656				1940		
1657				августе 1970	5000	1
1658						
1659						
1660						
1661					29835	1
1662					87000	1
1663						
1664						
1665				1962		
1666				1958	6914	1
1667				1971		
1668				1967		
1669				1955		
1670				1951		
1671					15379	1
1672				1930	8020	1
1673				1951		
1674			0			
1675					15016	1
1676				1901		
1677				1965		
1678				1968		
1679						
1680						
1681						
1682						
1683						
1684						
1685						
1686				29 ноября 1946	150000	1
1687				15 ноября 1984		
1688					90000	1
1689			1	1924	80000	1
1690						
1691						
1692						
1693						
1694				1980		
1695						
1696				1 января 1981	70000	1
1697				1951		
1698				1977		
1699						
1700						
1701						
1702						
1703						
1704				1962	49543	1
1705				1934		
1706						
1707						
1708						
1709						
1710					100000	1
1711				2012		
1712				сентябре 2012		
1713						
1714				5 ноября 1988		
1715						
1716						
1717						
1718					16000	1
1719					50000	1
1720					21000	1
1721					30000	1
1722					55000	1
1723						
1724				1971	68307	1
1725				1969	35000	1
1726				1926	44000	1
1727				1941	60000	1
1728					145757	1
1729						
1730				2014	9728	1
1731				январе 1920		
1732						
1733				1959		
1734						
1735						
1736						
1737						
1738						
1739						
1740					70000	1
1741						
1742				1968		
1743						
1744				октябре 1974		
1745						
1746						
1747				1968	100000	1
1748						
1749						
1750				1936		
1751						
1752						
1753					17000	1
1754						
1755				16 мая 1935		
1756				ноябре 1955	81755	1
1757				октябре 2011		
1758						
1759						
1760						
1761					17870	1
1762	универсальная	opac.nekrasovka.ru/vmk/				
1763	взрослая	catalog.mgdb.ru:49001/				
1764	взрослая	opac.nekrasovka.ru/opacg2/?bibl	0			
1765	взрослая	opac.nekrasovka.ru/opacg2/?bibl	0			
1766						
1767					50000	1
1768						
1769						
1770	универсальная	opac.nekrasovka.ru/vmk/				
1771						
1772					18140	1
1773	универсальная	opac.nekrasovka.ru/vmk/				
1774	универсальная	opac.nekrasovka.ru/vmk/				
1775	универсальная	opac.nekrasovka.ru/vmk/				
1776	универсальная	opac.nekrasovka.ru/vmk/				
1777	универсальная	opac.nekrasovka.ru/vmk/				
1778	универсальная	opac.nekrasovka.ru/vmk/				
1779	универсальная	opac.nekrasovka.ru/vmk/				
1780	универсальная	opac.nekrasovka.ru/vmk/				
1781	универсальная	opac.nekrasovka.ru/vmk/				
1782	универсальная	opac.nekrasovka.ru/vmk/				
1783	универсальная	opac.nekrasovka.ru/vmk/				
1784	универсальная	opac.nekrasovka.ru/vmk/				
1785	универсальная	opac.nekrasovka.ru/vmk/				
1786	универсальная	opac.nekrasovka.ru/vmk/				
1787	универсальная	opac.nekrasovka.ru/vmk/				
1788	универсальная	opac.nekrasovka.ru/vmk/				
1789	универсальная	opac.nekrasovka.ru/vmk/			70	0
1790	универсальная	opac.nekrasovka.ru/vmk/				
1791	универсальная	opac.nekrasovka.ru/vmk/				
1792	универсальная	opac.nekrasovka.ru/vmk/				
1793	универсальная	opac.nekrasovka.ru/vmk/				
1794	универсальная	opac.nekrasovka.ru/vmk/				
1795	универсальная	opac.nekrasovka.ru/vmk/				
